teaching,teaching.1,coursecontent,coursecontent.1,examination,Examination,labwork,labwork.1,library_facilities, library_facilities,extracurricular,extracurricular.1,feedback_text,cleaned_feedback,blob_score,vader_score,final_score,sentiment
1,lecturer are punctual and can interact them easily.,1.0,content of the courses are update and mostly based on current technology.,1.0,exam pattern and marks distribution is very well procedure,1,well and good infrastructure and have trending software in lab    ,1.0,library is very well managed and provide needed facilities to us,1,extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.,lecturer are punctual and can interact them easily. content of the courses are update and mostly based on current technology. exam pattern and marks distribution is very well procedure well and good infrastructure and have trending software in lab     library is very well managed and provide needed facilities to us extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.,lecturer are punctual and can interact them easily content of the courses are update and mostly based on current technology exam pattern and marks distribution is very well procedure well and good infrastructure and have trending software in lab     library is very well managed and provide needed facilities to us extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them,0.29047619047619044,0.9239,0.6071880952380952,Positive
1,Good,1.0,Good,0.0,Average,0,Average,1.0,They are doing there job well,1,Good,Good Good Average Average They are doing there job well Good,good good average average they are doing there job well good,0.36,0.8689,0.6144499999999999,Positive
0,Punctuality is good. Most of the teachers are not interacting with students .,-1.0,Teachers are not giving depth of course . They trying to cover there work only .,1.0,It is statisfactory.,-1,3 hours practical is so long. It should be of 2 hours only ,-1.0,"Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large.",1,They are really very intersting. All the students enjoys alot and get a chance to showcase there talent,"Punctuality is good. Most of the teachers are not interacting with students . Teachers are not giving depth of course . They trying to cover there work only . It is statisfactory. 3 hours practical is so long. It should be of 2 hours only  Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large. They are really very intersting. All the students enjoys alot and get a chance to showcase there talent",punctuality is good most of the teachers are not interacting with students  teachers are not giving depth of course  they trying to cover there work only  it is statisfactory 3 hours practical is so long it should be of 2 hours only  well all the books are not avilable  if they are in library  books are in less number and strength of student are large they are really very intersting all the students enjoys alot and get a chance to showcase there talent,0.17470238095238094,0.9187,0.5467011904761905,Positive
1,Good,1.0,Good,1.0,Good,1,Good,1.0,Good,1,Good,Good Good Good Good Good Good,good good good good good good,0.7000000000000001,0.9468,0.8234,Positive
1,nice,1.0,good,-1.0,not so good,1,ok ok,-1.0,all books are not available,1,Awesome,nice good not so good ok ok all books are not available Awesome,nice good not so good ok ok all books are not available awesome,0.5428571428571428,0.0394,0.2911285714285714,Positive
-1,lecture delivery is not so good,1.0,every thing is fine,1.0,all good,-1,practicle must be of 2 hours,-1.0,the system in library usually does not work . so it creates a problem for us to issue the book,1,its good for refreshment ,lecture delivery is not so good every thing is fine all good practicle must be of 2 hours the system in library usually does not work . so it creates a problem for us to issue the book its good for refreshment ,lecture delivery is not so good every thing is fine all good practicle must be of 2 hours the system in library usually does not work  so it creates a problem for us to issue the book its good for refreshment,0.4533333333333333,0.5023,0.47781666666666667,Positive
1,It's good,1.0,It's appreciable,-1.0,"Not that much good 
Students are working so hard
But they aren't getting satisfactory result",1,"It's good 
Also depends on teacher's knowledge and student's interest",-1.0,"Sometimes only book is available for some subjects
And it is reserved",1,"It's appreciable
Students who are having interest in co curricular activities, getting a good platform","It's good It's appreciable Not that much good 
Students are working so hard
But they aren't getting satisfactory result It's good 
Also depends on teacher's knowledge and student's interest Sometimes only book is available for some subjects
And it is reserved It's appreciable
Students who are having interest in co curricular activities, getting a good platform","its good its appreciable not that much good 
students are working so hard
but they arent getting satisfactory result its good 
also depends on teachers knowledge and students interest sometimes only book is available for some subjects
and it is reserved its appreciable
students who are having interest in co curricular activities getting a good platform",0.41547619047619044,0.9306,0.6730380952380952,Positive
1,"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture",1.0,Satisfied,0.0,All are good except paper checking. It should be improved,1,All good,1.0,Its very helpful,1,All good,"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture Satisfied All are good except paper checking. It should be improved All good Its very helpful All good",discipline punctuality  lecture delivery all are good but hv to do some work for quality of lecture satisfied all are good except paper checking it should be improved all good its very helpful all good,0.5833333333333334,0.9796,0.7814666666666668,Positive
0,"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems",-1.0,The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial,1.0,Overall all these things are the plus point of the university,0,Average ,1.0,"Awesome, peaceful, relaxing atmosphere",0,Good but lacks audience.....as only participants can see these activities on duty leave basis,"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial Overall all these things are the plus point of the university Average  Awesome, peaceful, relaxing atmosphere Good but lacks audience.....as only participants can see these activities on duty leave basis",interaction is very goodaccurate supplement material is provided but recommendation of books is very poorthe change of a particular teacher after 3 months or a semester of same subject causes problems the books that are recommended do not contain appropriate content leads the students to depend on slides given by teachers hence the knowledge remains superficial overall all these things are the plus point of the university average  awesome peaceful relaxing atmosphere good but lacks audienceas only participants can see these activities on duty leave basis,0.225,0.9549,0.58995,Positive
1,Perfect,1.0,Awesome,1.0,Notbad,-1,Too much lanlb file work,-1.0,All books are not available,1,Perfect,Perfect Awesome Notbad Too much lanlb file work All books are not available Perfect,perfect awesome notbad too much lanlb file work all books are not available perfect,0.6,0.7005,0.65025,Positive
1,It is really gud,1.0,It is proper,1.0,It is very gud,0,Evaluation method is gud.But the content is more to write in file,-1.0,I think number of books are very less according to the students .Only 2-3 copies are available.,1,All the activities are gud and appropriate for students,It is really gud It is proper It is very gud Evaluation method is gud.But the content is more to write in file I think number of books are very less according to the students .Only 2-3 copies are available. All the activities are gud and appropriate for students,it is really gud it is proper it is very gud evaluation method is gudbut the content is more to write in file i think number of books are very less according to the students only 23 copies are available all the activities are gud and appropriate for students,0.19791666666666669,0.0772,0.13755833333333334,Positive
0,Very good teaching and management but too much load on student and working hours,1.0,Courses are very good and useful ,0.0,Examination pattern is good but marks distribution very confusing,1,excellent,1.0,good,1,very good,Very good teaching and management but too much load on student and working hours Courses are very good and useful  Examination pattern is good but marks distribution very confusing excellent good very good,very good teaching and management but too much load on student and working hours courses are very good and useful  examination pattern is good but marks distribution very confusing excellent good very good,0.5822222222222222,0.9812,0.781711111111111,Positive
-1,in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.,1.0,Its good,1.0,"Exam pattren is good, marks distribution is also good bt paper cheacking is very tight.",1,Its good,1.0,Thats good,0,"Thats good but the problm is whenever in university the functions like one india, one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important. 
Thanx","in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate. Its good Exam pattren is good, marks distribution is also good bt paper cheacking is very tight. Its good Thats good Thats good but the problm is whenever in university the functions like one india, one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important. 
Thanx","in terms of lecture delivery that is goodin terms of punctuality that is also good but in terms of intraction that is very bad there are some teachers they donot interact and do not litsn our problms that means they do not coprate its good exam pattren is good marks distribution is also good bt paper cheacking is very tight its good thats good thats good but the problm is whenever in university the functions like one india one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important 
thanx",0.3819030969030969,0.9364,0.6591515484515484,Positive
1,According to me everything is going well in accordance to interaction.More than enough is served. ,1.0,Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand. ,1.0,Everything is fine. ,0,I think electrotherapy practical should be of 2 hours.That's enough I think.Rest is fine.,-1.0,I think stock is not enough more books are required. ,-1,Chance to go and enjoy should be given.I think it should be off when any activity like One India is there to go and enjoy.Otherwise everything is good. ,According to me everything is going well in accordance to interaction.More than enough is served.  Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand.  Everything is fine.  I think electrotherapy practical should be of 2 hours.That's enough I think.Rest is fine. I think stock is not enough more books are required.  Chance to go and enjoy should be given.I think it should be off when any activity like One India is there to go and enjoy.Otherwise everything is good. ,according to me everything is going well in accordance to interactionmore than enough is served  everything is fine every thing is taught in deptheven a single point is elaborated enough to understand  everything is fine  i think electrotherapy practical should be of 2 hoursthats enough i thinkrest is fine i think stock is not enough more books are required  chance to go and enjoy should be giveni think it should be off when any activity like one india is there to go and enjoyotherwise everything is good,0.2525974025974026,0.9337,0.5931487012987013,Positive
-1,not effective and satisfactory in terms of lecture delivery by all the faculty .,1.0,content is good enough,1.0,satisfactory ,-1,lab duration of 3 hours is very long . ,1.0,very cooperative ,-1,extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events,not effective and satisfactory in terms of lecture delivery by all the faculty . content is good enough satisfactory  lab duration of 3 hours is very long .  very cooperative  extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events,not effective and satisfactory in terms of lecture delivery by all the faculty  content is good enough satisfactory  lab duration of 3 hours is very long   very cooperative  extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events,0.15583333333333332,0.409,0.28241666666666665,Positive
1,Good,1.0,Good,1.0,Good,0,Average,1.0,Nice,1,Good,Good Good Good Average Nice Good,good good good average nice good,0.5416666666666666,0.9246,0.7331333333333333,Positive
1,Accurate,1.0,Accurate,1.0,Very good,1,Good,1.0,Satisfactory,1,Good,Accurate Accurate Very good Good Satisfactory Good,accurate accurate very good good satisfactory good,0.6220000000000001,0.9008,0.7614000000000001,Positive
1,It's good,1.0,Accurate,1.0,Very good,1,It's good,1.0,Fine ,1,Good,It's good Accurate Very good It's good Fine  Good,its good accurate very good its good fine  good,0.6377777777777777,0.9179,0.7778388888888889,Positive
1,Good,1.0,Perfect,1.0,Accurate,1,It's good,1.0,Fine,1,Good,Good Perfect Accurate It's good Fine Good,good perfect accurate its good fine good,0.6527777777777777,0.9217,0.7872388888888888,Positive
1,it is good depending on the faculty,1.0,the material provided is beneficial and provides much knowledge,0.0,it is neither too good nor too bad,1,lab evaluations are pretty good .they help us a lot.,1.0,library facilities provided are excellent,1,they are amazing and help to boost our stamina.,it is good depending on the faculty the material provided is beneficial and provides much knowledge it is neither too good nor too bad lab evaluations are pretty good .they help us a lot. library facilities provided are excellent they are amazing and help to boost our stamina.,it is good depending on the faculty the material provided is beneficial and provides much knowledge it is neither too good nor too bad lab evaluations are pretty good they help us a lot library facilities provided are excellent they are amazing and help to boost our stamina,0.43124999999999997,0.982,0.706625,Positive
1,"maintained punctuality, good lecture delivery",1.0,fully knowledgeable,1.0,exam pattern is good and good paper checking.,1,having good material in labs.,1.0,good facilities,1,increasing confidence,"maintained punctuality, good lecture delivery fully knowledgeable exam pattern is good and good paper checking. having good material in labs. good facilities increasing confidence",maintained punctuality good lecture delivery fully knowledgeable exam pattern is good and good paper checking having good material in labs good facilities increasing confidence,0.7,0.9501,0.82505,Positive
0,average,1.0,good,1.0,Excellent ,1,too much good,0.0,average,0,average,average good Excellent  too much good average average,average good excellent  too much good average average,0.325,0.8591,0.59205,Positive
0,average,1.0,good,1.0,good,1,good,1.0,better,1,best,average good good good better best,average good good good better best,0.5750000000000001,0.9413,0.7581500000000001,Positive
1,good,1.0,well planned,1.0,good,0,average,1.0,excellent,1,good,good well planned good average excellent good,good well planned good average excellent good,0.5900000000000001,0.926,0.758,Positive
1,good,1.0,good,1.0,good,-1,it is difficult to understand experiment in 1 hour,1.0,good,1,good,good good good it is difficult to understand experiment in 1 hour good good,good good good it is difficult to understand experiment in 1 hour good good,0.5,0.9001,0.7000500000000001,Positive
1,good,1.0,good,1.0,good,1,good,1.0,good,1,good,good good good good good good,good good good good good good,0.7000000000000001,0.9468,0.8234,Positive
1,good,1.0,ok,1.0,good,1,good,-1.0,some books are not available. So please provide,1,ok,good ok good good some books are not available. So please provide ok,good ok good good some books are not available so please provide ok,0.4833333333333332,0.9366,0.7099666666666666,Positive
0,average,1.0,good,1.0,good,1,good,1.0,there are doing there job good,1,good,average good good good there are doing there job good good,average good good good there are doing there job good good,0.5583333333333332,0.926,0.7421666666666666,Positive
1,good,0.0,average,1.0,Excellent ,1,lab work is also good,1.0,all are hardworking and punctual,0,average,good average Excellent  lab work is also good all are hardworking and punctual average,good average excellent  lab work is also good all are hardworking and punctual average,0.42000000000000004,0.8591,0.6395500000000001,Positive
1,"it is quite good , depending on teacher and their experience",1.0,content is very knowledgable and gives us huge knowledge of every subject,1.0,"examination pattern, marks, paper checking is good.",1,lab work is quite good,1.0,Excellent,1,extracurricular activities are good.,"it is quite good , depending on teacher and their experience content is very knowledgable and gives us huge knowledge of every subject examination pattern, marks, paper checking is good. lab work is quite good Excellent extracurricular activities are good.",it is quite good  depending on teacher and their experience content is very knowledgable and gives us huge knowledge of every subject examination pattern marks paper checking is good lab work is quite good excellent extracurricular activities are good,0.5291666666666667,0.955,0.7420833333333333,Positive
1,"it is quite good , depends upon teacher and their experience",1.0,"content is enough, we donot need more.",-1.0,"too many examination, we are frustrated",0,lab activities are good but not satisfactory in explaining point of view.,1.0,library is awesome and rich,0,"good it is, but teachers do not consider the new ones.","it is quite good , depends upon teacher and their experience content is enough, we donot need more. too many examination, we are frustrated lab activities are good but not satisfactory in explaining point of view. library is awesome and rich good it is, but teachers do not consider the new ones.",it is quite good  depends upon teacher and their experience content is enough we donot need more too many examination we are frustrated lab activities are good but not satisfactory in explaining point of view library is awesome and rich good it is but teachers do not consider the new ones,0.39113636363636367,0.9391,0.6651181818181818,Positive
1,the way of teaching is good but the time more than enough,0.0,good quallity content but some teachers donot upload ppts on time,0.0,too much examinations,1,helps in improving skills,1.0,they are good,1,it is good,the way of teaching is good but the time more than enough good quallity content but some teachers donot upload ppts on time too much examinations helps in improving skills they are good it is good,the way of teaching is good but the time more than enough good quallity content but some teachers donot upload ppts on time too much examinations helps in improving skills they are good it is good,0.5,0.9682,0.7341,Positive
